feature,importance
angle_elbow_right,0.06839664057689701
y_elbow_left,0.05110364933875054
y_ankle_right,0.04420825479608588
z_elbow_left,0.041226138940424664
angle_knee_left,0.03750197453978303
y_hip_right,0.03500960302011982
y_right_foot_index,0.03265666756505548
z_left_foot_index,0.03191635111329047
x_shoulder_left,0.031461723508630204
angle_knee_right,0.028978344073149614
z_wrist_left,0.027302623985626235
z_ankle_right,0.026864705827880492
y_knee_right,0.025489608927108925
z_hip_right,0.02542109783138009
z_knee_right,0.02525418981145646
x_left_foot_index,0.022475271717882554
z_right_foot_index,0.02188693903196946
x_knee_right,0.021323879185948153
y_hip_left,0.02098044727636182
z_hip_left,0.020513876383441598
x_shoulder_right,0.02004647681278116
y_wrist_left,0.01990442365442366
z_knee_left,0.019770850003785007
x_hip_right,0.019729019071691486
x_elbow_right,0.019295252949664714
y_shoulder_left,0.01837628404204491
x_ankle_left,0.017831589353328483
y_wrist_right,0.017337602348631763
y_shoulder_right,0.017178329333501746
x_hip_left,0.016479885057471264
y_knee_left,0.016090309710999368
y_left_foot_index,0.014486607142857145
x_right_foot_index,0.014413183475683475
z_shoulder_right,0.014279638490164807
x_elbow_left,0.013954088296760713
x_knee_left,0.01376994713791389
z_elbow_right,0.01249589932376362
angle_elbow_left,0.012153138932524008
z_ankle_left,0.011701749471146024
x_ankle_right,0.01144880174291939
z_shoulder_left,0.009827122153209111
y_elbow_right,0.008572037510656437
z_wrist_right,0.008035714285714287
y_ankle_left,0.005787037037037038
x_wrist_right,0.0036344537815126057
x_wrist_left,0.0034285714285714284
x_mid_hip,0.0
y_mid_hip,0.0
